accid,lighttreatment,lightintensity,curve_type,loggcl,logitfgmax,loglambdamean,loglambdasd,logtaumean,logtausd
LA0107-P,shade,high,pseudohypo,2.8486860827044302,-1.1092764982989236,0.49956794544,0.03484291236388336,6.1694629689,0.020793427870641108
LA0107-Q,sun,low,amphi,3.223347797567941,-2.9964012196070056,0.125203459104,0.007917993448892541,4.689830749,0.005732177748737576
LA0107-Q,sun,high,amphi,3.223347797567941,-1.738948654797473,0.5374885538,0.010514804644052779,5.8429919269,0.004908608608320286
LA0107-Q,sun,low,pseudohypo,3.1749524741150754,-2.9577810432939766,0.093293262826,0.011828387289288143,4.605591126,0.008049371411102726
LA0107-Q,sun,high,pseudohypo,3.1749524741150754,-1.7894352238893794,0.58171553796,0.01867998551901945,5.5015696393,0.008324829006450058
LA0107-R,shade,low,amphi,2.9473883165344925,-2.3884531766327086,0.43717104027,0.03414867517490709,5.2951877608,0.021112147900620163
LA0107-R,shade,high,amphi,2.9473883165344925,-1.9509134446366407,0.120321218854114,0.0930315207256986,6.0818198219,0.1503364134119067
LA0107-R,shade,low,pseudohypo,2.9369761645012895,-2.762174183863178,0.113092518289,0.029656002437151094,5.5615482925,0.04583153742954641
LA0107-R,shade,high,pseudohypo,2.9369761645012895,-1.8590517944854135,-0.147939824104,0.035447933910367185,5.8228223064,0.06395210195761725
LA0107-S,sun,low,amphi,3.0936608449798224,-1.9433595778660766,0.39746460273,0.013186068437867494,5.4766369896,0.007566731213249573
LA0107-S,sun,high,amphi,3.0936608449798224,-1.4616478931891481,0.46534726392,0.012741636427886244,5.5846795218,0.006893627302094652
LA0107-S,sun,low,pseudohypo,3.0147907899976834,-2.5783346344310663,0.054453605161,0.009218299511119929,5.038206216,0.00804891731514306
LA0107-S,sun,high,pseudohypo,3.0147907899976834,-1.5740972456840283,0.28451840399,0.009793403881429661,5.5075387489,0.0061202004043910754
LA0107-T,sun,low,amphi,3.0146396628240666,-3.297952487997649,0.49999052191,0.016403752573028216,5.6844122872,0.008436306119271297
LA0107-T,sun,high,amphi,3.0146396628240666,-2.0634570169688815,0.58924791778,0.021150115287092767,5.7265954814,0.008195717707406323
LA0107-T,sun,low,pseudohypo,3.0004056241398187,-2.800476310222174,0.33830918494,0.008995243953651049,5.1685801368,0.005340351647395851
LA0107-T,sun,high,pseudohypo,3.0004056241398187,-1.7667607154065006,0.51638876563,0.02346688817923373,5.7917920511,0.010445266619982534
