accession,id,lighttreatment,lightintensity,leaftype,loggcl,loggi,loggmax,loglambdamean,loglambdasd,logtaumean,logtausd,initial_RH,median_RH,final_RH,initial_VPD,median_VPD,final_VPD
LA0107,C,shade,low,amphi,3.0764275054393497,-1.1960725556878036,1.1209956088667161,0.238831939225,0.011483429352460198,5.181040225125,0.0068886387846676675,0.17629772184121462,0.10124599048694012,0.054482929158951254,2.5866954091276564,2.8399881395804267,2.998759839191116
LA0107,C,shade,high,amphi,3.0764275054393497,-0.7843570987879134,1.1209956088667161,0.26385171616,0.028551122877196487,5.3713438957,0.020321441157791276,0.23475675823195935,0.16652851243246597,0.11289605756713629,2.382228255592274,2.6164377060318147,2.799553217071522
LA0107,C,shade,low,pseudohypo,3.0142096889952903,-2.4623663657529393,0.8433292773302472,-0.0180979196691125,0.009633445828611592,4.60441983645,0.00795381842545439,0.06694334285634126,0.04784521516220283,0.0368773645304452,2.953093616974368,3.017556691475029,3.055965439013476
LA0107,C,shade,high,pseudohypo,3.0142096889952903,-1.2439557077387435,0.8433292773302472,0.2329956034655,0.03913518337772443,5.60065584615,0.028422874471964062,0.16909875559735602,0.11105351081557506,0.07378493636200083,2.62181256105543,2.802805128181203,2.9308609362472993
LA0107,E,shade,low,amphi,3.0577660776064635,-1.9845231669042418,0.5156704808763344,0.3937405197375,0.017670918770251468,4.9741860493,0.012007999047522084,0.10747097427941533,0.047034789819519585,0.03890349564345474,2.8232955102941006,3.034669763918589,3.05071960681439
LA0107,E,shade,high,amphi,3.0577660776064635,-1.4852425404751466,0.5156704808763344,0.494986490885,0.021975190954017884,5.4418951412,0.010682944265292541,0.159155731462236,0.09571441417503451,0.05869136904027978,2.6614001310438207,2.8789997294720635,2.991488427540845
LA0107,E,shade,low,pseudohypo,3.012497983471436,-1.8154664226166115,0.3179337930970337,0.4142263638675,0.01756128189656146,5.096779532075,0.012140424397889215,0.12186814121646455,0.055118343052751435,0.04090006338429425,2.7716851192108147,2.997194960745387,3.043245704490511
LA0107,E,shade,high,pseudohypo,3.012497983471436,-1.2156803571165973,0.3179337930970337,0.5154058360175,0.02161165737160185,5.846461325275,0.011003349610240524,0.1834380962708792,0.11039402553491899,0.0642354701460376,2.546842791590523,2.8126772497907453,2.9689699787011556
LA0107,I,shade,low,amphi,3.0486859483817366,-1.8780604302074229,1.081954496555169,-0.2068390810125,0.015130512865168907,4.94010139605,0.014737639782255072,0.09636381037956995,0.0750282660301203,0.066352846083201,2.863604146124325,2.930936144470638,2.961682980737517
LA0107,I,shade,high,amphi,3.0486859483817366,-0.9914045287375964,1.081954496555169,0.165554729115,0.007670890618799404,4.948855679075,0.005471118045756493,0.17994716877677777,0.12399216625678827,0.0872177299403844,2.5721827219789746,2.7677224220527292,2.8848288939687716
LA0107,I,shade,low,pseudohypo,3.0251240861179016,-1.7834891270619937,0.8715152609615191,-0.041072687228546,0.021378205253350838,4.694273044125,0.016312281131104125,0.11143338846332797,0.08696355903189694,0.07757914830683099,2.826875969958881,2.875042760203351,2.9120659102744284
LA0107,I,shade,high,pseudohypo,3.0251240861179016,-1.2812600913104981,0.8715152609615191,0.0817756141075,0.007583496125269482,4.505224517475,0.005519030385010998,0.16172837276940755,0.12609863569216664,0.10653158252223002,2.6697716502938764,2.7576684810457137,2.824663868129382
LA0107,J,sun,low,amphi,3.173366516313687,-1.1301944900077114,1.8322088202143396,0.14329161775575,0.011322972245929335,4.581418298925,0.008969510350170282,0.21334150730497758,0.12192742288486091,0.10297144508511705,2.4601519400060066,2.7665028769500593,2.8303126544273534
LA0107,J,sun,high,amphi,3.173366516313687,-0.15336761789648629,1.8322088202143396,0.21293926727425,0.027623755824375137,5.893558794575,0.020183838327720725,0.37162389309548644,0.26176784978099216,0.17478994341167256,1.8634566099599539,2.2551644750950746,2.5703360578793575
LA0107,J,sun,low,pseudohypo,3.061808246881836,-1.5405919888493529,1.3756312535828177,0.0318926533854825,0.012376336044151113,5.1975003084,0.012014931751099158,0.15406864899869946,0.11260351986910297,0.07930109034446009,2.6489270282226975,2.779918915981141,2.9168595286212136
LA0107,J,sun,high,pseudohypo,3.061808246881836,-0.7580749815865603,1.3756312535828177,0.2206027907075,0.0063982483539335435,4.58088619505,0.004119240787338313,0.2649996901819785,0.14419163917839783,0.12078281619829805,2.2671101029425227,2.712169705019937,2.775385191073477
LA0107,K,sun,low,amphi,3.123245878543451,-0.649973504632171,1.650725517626886,0.208942673105,0.015214505022686349,4.646449052975,0.009503365025755063,0.21647226652242668,0.14565499058182527,0.09639116842138844,2.456414018872073,2.6954008934088867,2.8597845864637512
LA0107,K,sun,high,amphi,3.123245878543451,-0.19255894310513474,1.650725517626886,0.130015696103,0.006728191324726771,4.974885703725,0.0045446302482464954,0.2837548743574987,0.21216374727366588,0.1648362341752994,2.2020929214509635,2.4543680270205614,2.6205532516782037
LA0107,K,sun,low,pseudohypo,2.9759186598205076,-1.565947652152419,1.2346009078426892,-0.043078330395575,0.01037097623901041,4.7376146139,0.013727829593570837,0.12665737541191033,0.10361609905665808,0.09148479895199886,2.7266380856803094,2.8009514219770755,2.8641928174429583
LA0107,K,sun,high,pseudohypo,2.9759186598205076,-0.5123096003862854,1.2346009078426892,0.21068251226,0.012405048509705694,5.330912251875,0.008126143297781585,0.25708144479173006,0.1933441385837706,0.13897284076558347,2.2582742522085164,2.514078564214528,2.7087772563167913
LA0107,L,sun,low,amphi,3.0274821876639946,-1.2286330286765268,1.7496274472739202,0.07217242614,0.005209702811576105,5.1382285094,0.004058670500262259,0.17217447037819159,0.11584831028755957,0.07862379255365945,2.595728947159335,2.7855224407227426,2.9149567829585816
LA0107,L,sun,high,amphi,3.0274821876639946,-0.24906650251602508,1.7496274472739202,0.54622924679,0.014207734891668797,5.7877279615,0.006614669641239709,0.32482852989174676,0.21593084423218606,0.13352373650870608,2.041984260020655,2.431887210790257,2.724356361094148
LA0107,L,sun,low,pseudohypo,2.9548963898982645,-1.6568395730024028,1.4197997639132465,0.09812969163225,0.013556676735769142,5.509413475875,0.010161522675653843,0.1282504709472559,0.09997277509884145,0.07576917207406532,2.744468779926699,2.837590696601695,2.9199525493636322
LA0107,L,sun,high,pseudohypo,2.9548963898982645,-0.7306240570529852,1.4197997639132465,0.3428534513625,0.013412487271364635,5.61767555155,0.008163593855529078,0.2400851097019381,0.17462794387655334,0.11950016458850106,2.3380055722786293,2.574082596903329,2.7689499679430654
LA0107,M,shade,low,amphi,3.0639928779788947,-1.045784902328448,0.8896220613740828,-0.025750594582148574,0.03198144452664946,5.7524788285,0.03693506615006117,0.17196504106784377,0.08323622242259951,0.03881926696457967,2.591382321316561,2.9079063530485993,3.050307922638928
LA0107,M,shade,high,amphi,3.0639928779788947,-0.8865451924134766,0.8896220613740828,-0.005547594775125251,0.0380285788729976,5.38164764235,0.03152688097360388,0.20109034779056512,0.1394819290843649,0.09346900978237302,2.511608738016702,2.7234898825343548,2.8828304686681956
LA0107,M,shade,low,pseudohypo,3.0358962491325125,-1.6473912323426934,0.7229865181725558,0.1002415364881825,0.03942504669911689,5.433741103975,0.031173025054385465,0.11144909813007545,0.05644141513138924,0.028380439596814012,2.8045655111975782,2.9895347350188204,3.085512189156008
LA0107,M,shade,high,pseudohypo,3.0358962491325125,-1.4747627388832731,0.7229865181725558,-0.078337963777,0.009042737350795868,5.94139735335,0.010950968869736616,0.12666007207574742,0.09699543278590876,0.07491822272590636,2.7689507863149063,2.860038614040902,2.93381557534335
LA0107,N,shade,low,amphi,3.050954795013205,-1.2122940628576548,0.8553817707577904,0.09094984632987,0.03391991802692247,5.646944586175,0.025499086571695202,0.1516340678842438,0.06743552250761689,0.02901231216773732,2.686756280962741,2.960680551516341,3.0854888606493915
