accession,light_treatment,leaf_type,light_intensity,n_plant,trait,estimate,lowerCI,upperCI
LA0750,sun,pseudohypo,high,11,fgmax,0.05433063340558053,0.048541199058805544,0.06036231127889918
LA0750,sun,pseudohypo,low,9,fgmax,0.02393444545970406,0.020184820206490678,0.02794117948833916
LA1028,shade,amphi,high,10,fgmax,0.16719123783463274,0.14748896671975945,0.18930515040568047
LA1028,shade,amphi,low,10,fgmax,0.070912060331769,0.06022066534004269,0.08436601472654241
LA1028,shade,pseudohypo,high,10,fgmax,0.08658627376805986,0.07752436873166092,0.09612894665210726
LA1028,shade,pseudohypo,low,10,fgmax,0.04034857608436528,0.03458593503297178,0.04726892547893937
LA1028,sun,amphi,high,7,fgmax,0.16453901370763827,0.14493270522959906,0.18710848678037578
LA1028,sun,amphi,low,7,fgmax,0.051590925983062676,0.04363774849667606,0.0611892619311417
LA1028,sun,pseudohypo,high,7,fgmax,0.06778121126336485,0.06098162318248807,0.0753635502113839
LA1028,sun,pseudohypo,low,7,fgmax,0.024621941566073145,0.0209595446809996,0.02862472951528683
LA1044,shade,amphi,high,10,fgmax,0.1311283423881224,0.11987492774878611,0.14367334567642784
LA1044,shade,amphi,low,10,fgmax,0.07404713234104768,0.06632032464416462,0.08395010628316717
LA1044,shade,pseudohypo,high,10,fgmax,0.07866385997854147,0.07323616498125038,0.08552919002955614
LA1044,shade,pseudohypo,low,10,fgmax,0.04624006957358935,0.04169598493897815,0.05202318062404552
LA1044,sun,amphi,high,11,fgmax,0.1291026036865939,0.11918292312477152,0.14117300476428168
LA1044,sun,amphi,low,11,fgmax,0.05382015851000278,0.048130686734189174,0.06076140051922811
LA1044,sun,pseudohypo,high,11,fgmax,0.06166867978146029,0.05696619450204178,0.06661862722354409
LA1044,sun,pseudohypo,low,11,fgmax,0.02836603968717412,0.0252309811123301,0.031676608490210076
LA1269,shade,amphi,high,10,fgmax,0.14675197384097374,0.1329467200766253,0.16564932940646424
LA1269,shade,amphi,low,9,fgmax,0.07439002776078259,0.06561577169821492,0.08594875049404932
LA1269,shade,pseudohypo,high,10,fgmax,0.07933051454939404,0.07165750055033844,0.08695169338355085
LA1269,shade,pseudohypo,low,9,fgmax,0.042552762200042574,0.03684773564985175,0.04803478898849358
LA1269,sun,amphi,high,9,fgmax,0.14461446061564395,0.12986896227273417,0.16191704302502166
LA1269,sun,amphi,low,6,fgmax,0.05415988696159681,0.04716975434805169,0.06266879534035806
LA1269,sun,pseudohypo,high,9,fgmax,0.061917760654199315,0.05660690781322357,0.06781594520645957
LA1269,sun,pseudohypo,low,6,fgmax,0.025908196348705302,0.022521007448217577,0.029423795934091574
LA1316,shade,amphi,high,9,fgmax,0.15617889827074735,0.13861224810012113,0.17415831441032295
LA1316,shade,amphi,low,10,fgmax,0.06956781686132574,0.06017842048410647,0.08005653463128261
LA1316,shade,pseudohypo,high,9,fgmax,0.08591232409729287,0.07806851357305634,0.09450100520018669
LA1316,shade,pseudohypo,low,10,fgmax,0.041409862578023246,0.03603326047419019,0.04751622610802993
LA1316,sun,amphi,high,10,fgmax,0.15315762088817345,0.13700294825172252,0.17097844833516654
LA1316,sun,amphi,low,9,fgmax,0.05039066075780166,0.043597904051323744,0.05866467887491964
LA1316,sun,pseudohypo,high,10,fgmax,0.0671271819438644,0.06099589351506767,0.07374225899874955
LA1316,sun,pseudohypo,low,9,fgmax,0.02533824904341595,0.022102934223002847,0.029103297815284097
LA1322,shade,amphi,high,10,fgmax,0.15106161183342712,0.1348111519266006,0.16892070270298493
LA1322,shade,amphi,low,8,fgmax,0.06554515595352535,0.056489300581584044,0.07547479504710329
LA1322,shade,pseudohypo,high,10,fgmax,0.08639690846218334,0.07870644327210109,0.0955200521546836
LA1322,shade,pseudohypo,low,8,fgmax,0.03500024498310269,0.030357996760117578,0.04083101108175227
LA1322,sun,amphi,high,10,fgmax,0.14837129498189489,0.13249693500448934,0.16613047702366718
LA1322,sun,amphi,low,9,fgmax,0.047596423077452155,0.04106522890885608,0.05516835384542683
LA1322,sun,pseudohypo,high,10,fgmax,0.06758823594902046,0.06174541300209988,0.07472944134302258
LA1322,sun,pseudohypo,low,9,fgmax,0.021353693107343877,0.01845310809038417,0.024776385079295672
