accession,lighttreatment,lightintensity,leaftype,n_plant,trait,estimate,lowerCI,upperCI
LA0436,sun,low,pseudohypo,8,fgmax,0.05263267306373477,0.04399732073702085,0.06225634575351938
LA0436,sun,high,pseudohypo,10,tau,164.52107584534156,149.90744654288585,179.5257294650902
LA0436,sun,high,pseudohypo,10,lambda,1.2859068784278584,1.2394068760774617,1.3416950391790865
LA0436,sun,high,pseudohypo,10,gcl,18.5719772370996,18.124312343009812,18.988647518501026
LA0436,sun,high,pseudohypo,10,fgmax,0.11442524877083744,0.09711047929941359,0.13383431098884355
LA0444,shade,low,amphi,10,tau,123.68517890395631,111.45603978155626,137.92123331061805
LA0444,shade,low,amphi,10,lambda,1.0651443827233507,1.0184004901242194,1.1118324048135941
LA0444,shade,low,amphi,10,gcl,18.453410720477393,18.003031356743815,18.923533651037626
LA0444,shade,low,amphi,10,fgmax,0.06561939893527706,0.05539591690010672,0.07718234055299814
LA0444,shade,high,amphi,9,tau,171.01556205395195,154.4568513471808,190.39679749318864
LA0444,shade,high,amphi,9,lambda,1.1770779647264933,1.1261014256786002,1.2283113304664257
LA0444,shade,high,amphi,9,gcl,18.453410720477393,18.003031356743815,18.923533651037626
LA0444,shade,high,amphi,9,fgmax,0.1404297024184549,0.1199675240782152,0.1626626231809211
LA0444,shade,low,pseudohypo,10,tau,125.43199982268597,112.7592530069109,139.47296683310327
LA0444,shade,low,pseudohypo,10,lambda,1.0432221466976936,0.9984196579739494,1.0883866542751754
LA0444,shade,low,pseudohypo,10,gcl,17.37539199396316,16.947301631978675,17.813438873588453
LA0444,shade,low,pseudohypo,10,fgmax,0.0796580895778432,0.06741232590175833,0.09323915299600068
LA0444,shade,high,pseudohypo,9,tau,173.23269712936536,156.3872204351744,192.86226887889424
LA0444,shade,high,pseudohypo,9,lambda,1.1529475706228238,1.1043489004386056,1.2035511153800895
LA0444,shade,high,pseudohypo,9,gcl,17.37539199396316,16.947301631978675,17.813438873588453
LA0444,shade,high,pseudohypo,9,fgmax,0.16756540667986694,0.14428100189110965,0.19328651687529189
LA0444,sun,low,amphi,9,tau,123.89687698816277,111.36145549780154,137.8673081166153
LA0444,sun,low,amphi,9,lambda,1.1600420286924766,1.1100237963984676,1.2086613071301846
LA0444,sun,low,amphi,9,gcl,20.676762651761678,20.173312353036327,21.19465864324067
LA0444,sun,low,amphi,9,fgmax,0.050451281294396126,0.04267611085624327,0.059293635746414615
LA0444,sun,high,amphi,10,tau,171.32758475791996,154.31552996219105,190.3968472379764
LA0444,sun,high,amphi,10,lambda,1.2821962994406046,1.2282606038325876,1.3356446322375872
LA0444,sun,high,amphi,10,gcl,20.676762651761678,20.173312353036327,21.19465864324067
LA0444,sun,high,amphi,10,fgmax,0.11012415841685554,0.09375114337472527,0.12837980888901568
LA0444,sun,low,pseudohypo,9,tau,125.59034446187738,112.89703188712379,140.04304696731575
LA0444,sun,low,pseudohypo,9,lambda,1.1364299815719299,1.0879143015357056,1.1845670377536606
LA0444,sun,low,pseudohypo,9,gcl,19.474684007897192,19.00381283704071,19.968455652753963
LA0444,sun,low,pseudohypo,9,fgmax,0.06148036024827085,0.05218588912866167,0.07207357496844764
LA0444,sun,high,pseudohypo,10,tau,173.6243965287772,156.37116609424444,193.14102611551854
LA0444,sun,high,pseudohypo,10,lambda,1.2559346753158172,1.2030718742178292,1.3089176474478914
LA0444,sun,high,pseudohypo,10,gcl,19.474684007897192,19.00381283704071,19.968455652753963
LA0444,sun,high,pseudohypo,10,fgmax,0.13236648801372275,0.1131789942482506,0.1533016131691709
LA0716,shade,low,amphi,10,tau,192.47770191698683,173.25061221049893,212.52413051372318
LA0716,shade,low,amphi,10,lambda,1.1120457348721429,1.0692057547618126,1.1568512121884056
LA0716,shade,low,amphi,10,gcl,21.314778815026564,20.861821451693572,21.76750003982073
LA0716,shade,low,amphi,10,fgmax,0.06788732300593317,0.05773462072680226,0.07917055731718148
LA0716,shade,high,amphi,9,tau,266.1672623115935,240.0913660583716,294.43544954134677
