accession,id,lighttreatment,lightintensity,leaftype,loggcl,logitfgmax,loglambdamean,loglambdasd,logtaumean,logtausd,initial_RH,median_RH,final_RH,initial_VPD,median_VPD,final_VPD
LA0107,C,shade,low,amphi,3.0764275054393497,-2.213241318103594,0.23870756108,0.011209986744971394,5.1809155862,0.006959886365426462,0.17629772184121462,0.10124599048694012,0.054482929158951254,2.5866954091276564,2.8399881395804267,2.998759839191116
LA0107,C,shade,high,amphi,3.0764275054393497,-1.744223702035799,0.26403481511,0.028732685312406418,5.371705777,0.020750866116570645,0.23475675823195935,0.16652851243246597,0.11289605756713629,2.382228255592274,2.6164377060318147,2.799553217071522
LA0107,C,shade,low,pseudohypo,3.0142096889952903,-3.2682940520638777,-0.018209827059489,0.009843381184225336,4.6044484267,0.0077421004373218255,0.06694334285634126,0.04784521516220283,0.0368773645304452,2.953093616974368,3.017556691475029,3.055965439013476
LA0107,C,shade,high,pseudohypo,3.0142096889952903,-1.955380061260469,0.2363982008,0.03778631551630775,5.5986336125,0.02763890530039744,0.16909875559735602,0.11105351081557506,0.07378493636200083,2.62181256105543,2.802805128181203,2.9308609362472993
LA0107,E,shade,low,amphi,3.0577660776064635,-2.4143874547821746,0.39307082619,0.016543372761513447,4.9733025201,0.011975889432500839,0.10747097427941533,0.047034789819519585,0.03890349564345474,2.8232955102941006,3.034669763918589,3.05071960681439
LA0107,E,shade,high,amphi,3.0577660776064635,-1.8557743485882456,0.49501571575,0.022470557706277886,5.4424131922,0.010775439202553503,0.159155731462236,0.09571441417503451,0.05869136904027978,2.6614001310438207,2.8789997294720635,2.991488427540845
LA0107,E,shade,low,pseudohypo,3.012497983471436,-2.007254923156056,0.41411675338,0.01730592009643424,5.096631358,0.01205770194616698,0.12186814121646455,0.055118343052751435,0.04090006338429425,2.7716851192108147,2.997194960745387,3.043245704490511
LA0107,E,shade,high,pseudohypo,3.012497983471436,-1.2903381155922107,0.51482195963,0.021182803403218403,5.8461526399,0.010974278184524454,0.1834380962708792,0.11039402553491899,0.0642354701460376,2.546842791590523,2.8126772497907453,2.9689699787011556
LA0107,I,shade,low,amphi,3.0486859483817366,-2.9066568665048527,-0.20750930831,0.01477291400177952,4.9394602709,0.014547717101029103,0.09636381037956995,0.0750282660301203,0.066352846083201,2.863604146124325,2.930936144470638,2.961682980737517
LA0107,I,shade,high,amphi,3.0486859483817366,-1.9388237319287605,0.16487695327,0.007826126270906312,4.9492391586,0.0055893009055246416,0.17994716877677777,0.12399216625678827,0.0872177299403844,2.5721827219789746,2.7677224220527292,2.8848288939687716
LA0107,I,shade,low,pseudohypo,3.0251240861179016,-2.58220689391555,-0.039685240610498,0.022152135309625644,4.6935647197,0.016538653187678998,0.11143338846332797,0.08696355903189694,0.07757914830683099,2.826875969958881,2.875042760203351,2.9120659102744284
LA0107,I,shade,high,pseudohypo,3.0251240861179016,-2.0292539065921904,0.081482804488,0.007681799220299437,4.5053159191,0.0056231395206249165,0.16172837276940755,0.12609863569216664,0.10653158252223002,2.6697716502938764,2.7576684810457137,2.824663868129382
LA0107,J,sun,low,amphi,3.173366516313687,-2.9093899440668296,0.143958025337,0.011909363390566422,4.5814026511,0.00919231168607184,0.21334150730497758,0.12192742288486091,0.10297144508511705,2.4601519400060066,2.7665028769500593,2.8303126544273534
